,Team,Game,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds,Week,Position,Year,Target,Opponent
0,MIN,MIN@TEN,24.0,2.0,1,0,2,0,2,16,252,64,316,1,DST,2016,15.0,TEN
1,SF,LA@SF,16.0,2.0,2,0,0,0,0,0,120,65,185,1,DST,2016,11.0,LA
2,MIA,MIA@SEA,16.0,3.0,1,0,1,1,0,12,240,112,352,1,DST,2016,4.0,SEA
3,PHI,CLE@PHI,14.0,3.0,1,1,0,0,0,10,168,120,288,1,DST,2016,13.0,CLE
4,SEA,MIA@SEA,14.0,5.0,0,0,0,1,0,10,150,64,214,1,DST,2016,10.0,MIA
5,BUF,BUF@BAL,13.0,4.0,0,0,1,0,0,13,225,83,308,1,DST,2016,9.0,BAL
6,HOU,CHI@HOU,11.0,5.0,1,0,0,0,0,14,185,73,258,1,DST,2016,17.0,CHI
7,NYJ,CIN@NYJ,10.0,7.0,1,0,0,0,0,23,324,57,381,1,DST,2016,2.0,CIN
8,CAR,CAR@DEN,9.0,2.0,2,0,1,0,0,21,159,148,307,1,DST,2016,15.0,DEN
9,BAL,BUF@BAL,9.0,2.0,0,0,0,0,0,7,95,65,160,1,DST,2016,15.0,BUF
10,DEN,CAR@DEN,9.0,3.0,1,0,0,0,0,20,176,157,333,1,DST,2016,25.0,CAR
11,DAL,NYG@DAL,8.0,2.0,1,0,0,0,0,20,203,113,316,1,DST,2016,5.0,NYG
12,PIT,PIT@WAS,8.0,0.0,2,0,0,0,0,16,329,55,384,1,DST,2016,9.0,WAS
13,ARI,NE@ARI,7.0,2.0,0,0,2,0,0,23,257,106,363,1,DST,2016,26.0,NE
14,GB,GB@JAX,6.0,3.0,1,0,0,0,0,23,300,48,348,1,DST,2016,10.0,JAX
15,CIN,CIN@NYJ,6.0,1.0,1,0,0,1,0,22,188,152,340,1,DST,2016,6.0,NYJ
16,SD,SD@KC,5.0,3.0,1,0,0,0,0,33,330,83,413,1,DST,2016,12.0,KC
17,CHI,CHI@HOU,5.0,2.0,1,0,0,0,0,23,215,129,344,1,DST,2016,8.0,HOU
18,NYG,NYG@DAL,4.0,0.0,0,0,0,0,0,19,227,101,328,1,DST,2016,17.0,DAL
19,TB,TB@ATL,4.0,3.0,0,0,0,0,0,24,322,52,374,1,DST,2016,1.0,ATL
20,DET,DET@IND,4.0,2.0,0,1,0,0,0,35,368,82,450,1,DST,2016,11.0,IND
21,NE,NE@ARI,4.0,3.0,0,0,0,0,0,21,252,92,344,1,DST,2016,9.0,ARI
22,OAK,OAK@NO,3.0,1.0,0,0,1,0,0,34,419,88,507,1,DST,2016,3.0,NO
23,WAS,PIT@WAS,3.0,1.0,1,0,0,0,0,38,290,147,437,1,DST,2016,7.0,PIT
24,CLE,CLE@PHI,2.0,2.0,0,0,0,0,0,29,270,133,403,1,DST,2016,5.0,PHI
25,KC,SD@KC,2.0,1.0,0,0,0,0,0,27,233,155,388,1,DST,2016,10.0,SD
26,ATL,TB@ATL,2.0,0.0,1,0,0,0,0,31,281,90,371,1,DST,2016,1.0,TB
27,LA,LA@SF,2.0,0.0,0,0,1,0,0,28,170,150,320,1,DST,2016,14.0,SF
28,JAX,GB@JAX,2.0,1.0,0,0,0,0,0,27,199,95,294,1,DST,2016,5.0,GB
29,IND,DET@IND,1.0,1.0,0,0,0,0,0,39,332,116,448,1,DST,2016,3.0,DET
30,TEN,MIN@TEN,1.0,0.0,0,0,0,0,0,25,236,65,301,1,DST,2016,10.0,MIN
31,NO,OAK@NO,0.0,0.0,0,0,0,0,0,35,319,167,486,1,DST,2016,12.0,OAK
0,ARI,TB@ARI,26.0,3.0,4,0,1,0,1,7,221,85,306,2,DST,2016,8.0,TB
1,DEN,IND@DEN,25.0,5.0,1,0,1,0,2,20,170,83,253,2,DST,2016,12.0,IND
2,HOU,KC@HOU,17.0,4.0,0,0,3,0,0,12,172,119,291,2,DST,2016,2.0,KC
3,NYG,NO@NYG,17.0,2.0,0,0,0,1,1,13,247,41,288,2,DST,2016,4.0,NO
4,CAR,SF@CAR,15.0,2.0,2,0,1,0,1,27,237,65,302,2,DST,2016,3.0,SF
5,MIN,GB@MIN,15.0,5.0,1,0,2,0,0,14,180,83,263,2,DST,2016,29.0,GB
6,BAL,BAL@CLE,15.0,3.0,2,0,0,1,0,20,242,145,387,2,DST,2016,16.0,CLE
7,LA,SEA@LA,14.0,2.0,0,0,1,0,0,3,239,67,306,2,DST,2016,12.0,SEA
8,PHI,PHI@CHI,13.0,3.0,1,0,2,0,0,14,220,64,284,2,DST,2016,20.0,CHI
9,SD,JAX@SD,12.0,2.0,2,0,1,0,0,14,319,69,388,2,DST,2016,13.0,JAX
10,NO,NO@NYG,12.0,2.0,0,0,3,0,0,16,353,64,417,2,DST,2016,2.0,NYG
11,SF,SF@CAR,11.0,1.0,1,0,3,1,0,46,353,176,529,2,DST,2016,6.0,CAR
12,DET,TEN@DET,11.0,3.0,1,1,0,0,0,16,224,139,363,2,DST,2016,2.0,TEN
13,TEN,TEN@DET,10.0,4.0,1,0,0,0,0,15,238,137,375,2,DST,2016,7.0,DET
14,GB,GB@MIN,10.0,4.0,0,0,1,0,0,17,254,30,284,2,DST,2016,6.0,MIN
15,KC,KC@HOU,10.0,2.0,2,0,0,0,0,19,254,97,351,2,DST,2016,38.0,HOU
16,SEA,SEA@LA,10.0,3.0,0,0,0,0,0,9,219,64,283,2,DST,2016,6.0,LA
17,BUF,NYJ@BUF,9.0,1.0,0,0,1,0,1,37,370,123,493,2,DST,2016,25.0,NYJ
18,PIT,CIN@PIT,9.0,1.0,0,0,2,0,0,16,366,46,412,2,DST,2016,0.0,CIN
19,NE,MIA@NE,9.0,0.0,2,0,2,0,0,24,387,70,457,2,DST,2016,18.0,MIA
20,CHI,PHI@CHI,8.0,2.0,0,0,0,0,1,29,180,100,280,2,DST,2016,2.0,PHI
21,WAS,DAL@WAS,7.0,4.0,0,0,1,0,0,27,278,102,380,2,DST,2016,9.0,DAL
22,CIN,CIN@PIT,6.0,1.0,2,0,0,0,0,24,250,124,374,2,DST,2016,6.0,PIT
23,DAL,DAL@WAS,5.0,2.0,1,0,0,0,0,23,350,82,432,2,DST,2016,9.0,WAS
24,CLE,BAL@CLE,5.0,0.0,2,0,0,0,0,25,302,80,382,2,DST,2016,13.0,BAL
25,JAX,JAX@SD,5.0,3.0,0,0,1,0,0,38,207,150,357,2,DST,2016,12.0,SD
26,MIA,MIA@NE,4.0,2.0,0,0,1,0,0,31,302,161,463,2,DST,2016,7.0,NE
27,IND,IND@DEN,3.0,1.0,1,0,0,0,0,34,266,134,400,2,DST,2016,11.0,DEN
28,OAK,ATL@OAK,3.0,1.0,1,0,0,0,0,35,389,139,528,2,DST,2016,14.0,ATL
29,NYJ,NYJ@BUF,2.0,0.0,1,0,0,0,0,31,307,86,393,2,DST,2016,5.0,BUF
30,TB,TB@ARI,1.0,1.0,0,0,0,0,0,40,311,105,416,2,DST,2016,11.0,ARI
31,ATL,ATL@OAK,1.0,1.0,0,0,0,0,0,28,299,155,454,2,DST,2016,12.0,OAK
0,KC,NYJ@KC,38.0,0.0,6,0,2,0,2,3,188,117,305,3,DST,2016,2.0,NYJ
1,MIN,MIN@CAR,29.0,8.0,3,1,0,0,1,10,201,105,306,3,DST,2016,11.0,CAR
2,BUF,ARI@BUF,25.0,5.0,4,0,1,0,1,18,260,88,348,3,DST,2016,15.0,ARI
3,PHI,PIT@PHI,20.0,4.0,1,0,1,1,0,3,222,29,251,3,DST,2016,7.0,PIT
4,NE,HOU@NE,18.0,2.0,1,0,2,0,0,0,175,109,284,3,DST,2016,6.0,HOU
5,BAL,BAL@JAX,16.0,4.0,3,0,0,1,0,17,168,48,216,3,DST,2016,2.0,JAX
6,OAK,OAK@TEN,14.0,1.0,2,0,1,0,0,10,212,181,393,3,DST,2016,5.0,TEN
7,CLE,CLE@MIA,13.0,1.0,2,0,1,0,1,30,311,115,426,3,DST,2016,5.0,MIA
8,SD,SD@IND,13.0,2.0,1,0,1,0,1,26,317,93,410,3,DST,2016,6.0,IND
9,ATL,ATL@NO,12.0,2.0,1,0,1,0,1,32,359,115,474,3,DST,2016,11.0,NO
10,LA,LA@TB,12.0,2.0,1,0,1,0,1,32,389,83,472,3,DST,2016,20.0,TB
11,JAX,BAL@JAX,12.0,2.0,2,0,1,0,0,19,199,84,283,3,DST,2016,9.0,BAL
12,DEN,DEN@CIN,12.0,4.0,1,0,1,0,0,17,189,143,332,3,DST,2016,18.0,CIN
13,TB,LA@TB,11.0,1.0,1,0,1,0,1,37,183,137,320,3,DST,2016,5.0,LA
14,IND,SD@IND,11.0,2.0,0,0,3,1,0,22,315,37,352,3,DST,2016,3.0,SD
15,WAS,WAS@NYG,9.0,2.0,2,0,1,0,0,27,337,120,457,3,DST,2016,11.0,NYG
16,DAL,CHI@DAL,9.0,1.0,0,0,2,0,0,17,312,78,390,3,DST,2016,7.0,CHI
17,ARI,ARI@BUF,8.0,4.0,1,1,0,0,0,33,89,208,297,3,DST,2016,8.0,BUF
18,TEN,OAK@TEN,7.0,1.0,1,0,0,0,0,17,245,123,368,3,DST,2016,6.0,OAK
19,MIA,CLE@MIA,7.0,4.0,0,0,1,0,0,24,261,169,430,3,DST,2016,2.0,CLE
20,GB,DET@GB,6.0,3.0,1,0,0,0,0,27,368,50,418,3,DST,2016,10.0,DET
21,CIN,DEN@CIN,6.0,2.0,0,0,1,1,0,29,303,52,355,3,DST,2016,16.0,DEN
22,SEA,SF@SEA,6.0,0.0,1,0,0,0,0,18,119,135,254,3,DST,2016,14.0,SF
23,SF,SF@SEA,6.0,2.0,1,0,1,0,0,37,291,127,418,3,DST,2016,3.0,SEA
24,NYJ,NYJ@KC,5.0,2.0,0,0,1,0,0,24,221,72,293,3,DST,2016,3.0,KC
25,NYG,WAS@NYG,4.0,2.0,0,0,1,0,0,29,313,90,403,3,DST,2016,1.0,WAS
26,CAR,MIN@CAR,3.0,2.0,0,0,0,0,0,22,153,58,211,3,DST,2016,11.0,MIN
27,HOU,HOU@NE,2.0,1.0,0,0,0,0,0,27,97,185,282,3,DST,2016,13.0,NE
28,DET,DET@GB,2.0,2.0,0,0,0,0,0,34,201,123,324,3,DST,2016,12.0,GB
29,NO,ATL@NO,2.0,2.0,0,0,0,0,0,45,225,217,442,3,DST,2016,9.0,ATL
30,CHI,CHI@DAL,2.0,0.0,0,0,1,0,0,31,248,199,447,3,DST,2016,10.0,DAL
31,PIT,PIT@PHI,0.0,0.0,0,0,0,0,0,34,301,125,426,3,DST,2016,12.0,PHI
0,LA,LA@ARI,20.0,3.0,3,0,2,0,0,13,302,118,420,4,DST,2016,4.0,ARI
1,DEN,DEN@TB,18.0,5.0,2,0,1,0,0,7,143,72,215,4,DST,2016,5.0,TB
2,CIN,MIA@CIN,16.0,5.0,1,0,1,0,0,7,160,62,222,4,DST,2016,3.0,MIA
3,BUF,BUF@NE,15.0,3.0,0,0,1,0,0,0,187,90,277,4,DST,2016,20.0,NE
4,SEA,SEA@NYJ,14.0,4.0,3,0,0,0,0,17,247,58,305,4,DST,2016,9.0,NYJ
5,HOU,TEN@HOU,13.0,1.0,1,0,0,0,1,20,196,124,320,4,DST,2016,2.0,TEN
6,DET,DET@CHI,12.0,2.0,0,0,0,0,1,17,294,114,408,4,DST,2016,8.0,CHI
7,PIT,KC@PIT,12.0,4.0,1,0,1,0,0,14,270,87,357,4,DST,2016,10.0,KC
8,MIN,NYG@MIN,11.0,0.0,1,0,1,0,0,10,261,78,339,4,DST,2016,19.0,NYG
9,WAS,CLE@WAS,11.0,1.0,1,0,2,0,0,20,217,163,380,4,DST,2016,18.0,CLE
10,ATL,CAR@ATL,11.0,1.0,2,0,0,0,1,33,329,49,378,4,DST,2016,12.0,CAR
11,CAR,CAR@ATL,11.0,3.0,1,0,0,0,1,48,481,90,571,4,DST,2016,6.0,ATL
12,CHI,DET@CHI,10.0,2.0,2,0,0,0,0,14,197,66,263,4,DST,2016,5.0,DET
13,NO,NO@SD,9.0,3.0,1,0,2,0,0,34,308,38,346,4,DST,2016,6.0,SD
14,JAX,IND@JAX,9.0,6.0,1,0,0,0,0,27,190,94,284,4,DST,2016,5.0,IND
15,ARI,LA@ARI,8.0,2.0,0,0,1,0,0,17,247,41,288,4,DST,2016,16.0,LA
16,DAL,DAL@SF,7.0,1.0,1,0,0,0,0,17,189,106,295,4,DST,2016,8.0,SF
17,TEN,TEN@HOU,6.0,1.0,2,0,0,0,0,27,244,115,359,4,DST,2016,14.0,HOU
18,SD,NO@SD,6.0,2.0,2,0,0,0,0,35,192,83,275,4,DST,2016,5.0,NO
19,NE,BUF@NE,6.0,2.0,0,0,0,0,0,16,244,134,378,4,DST,2016,13.0,BUF
20,OAK,OAK@BAL,5.0,2.0,0,0,1,0,0,27,282,130,412,4,DST,2016,10.0,BAL
21,CLE,CLE@WAS,5.0,3.0,1,0,0,0,0,31,156,145,301,4,DST,2016,1.0,WAS
22,TB,DEN@TB,5.0,4.0,0,0,0,0,0,27,218,89,307,4,DST,2016,12.0,DEN
23,IND,IND@JAX,3.0,3.0,0,0,0,0,0,30,195,136,331,4,DST,2016,3.0,JAX
24,NYJ,SEA@NYJ,3.0,2.0,0,0,0,0,0,27,288,66,354,4,DST,2016,3.0,SEA
25,SF,DAL@SF,3.0,2.0,0,0,0,0,0,24,234,194,428,4,DST,2016,1.0,DAL
26,BAL,OAK@BAL,2.0,0.0,0,0,1,0,0,28,199,62,261,4,DST,2016,9.0,OAK
27,MIA,MIA@CIN,2.0,1.0,0,0,0,0,0,22,285,77,362,4,DST,2016,8.0,CIN
28,KC,KC@PIT,2.0,2.0,0,0,0,0,0,43,287,149,436,4,DST,2016,13.0,PIT
29,NYG,NYG@MIN,1.0,0.0,0,0,0,0,0,24,262,104,366,4,DST,2016,5.0,MIN
0,BUF,BUF@LA,20.0,4.0,2,0,1,0,1,19,243,102,345,5,DST,2016,9.0,LA
1,MIN,HOU@MIN,19.0,4.0,1,0,0,0,1,13,155,59,214,5,DST,2016,9.0,HOU
2,WAS,WAS@BAL,18.0,3.0,0,0,1,0,1,10,188,118,306,5,DST,2016,9.0,BAL
3,ARI,ARI@SF,16.0,7.0,2,1,1,0,0,21,135,151,286,5,DST,2016,15.0,SF
