,Player,Game,Pts*,XPA,XPM,FGA,FGM,50+,Week,Position,Year,Target
0,Dan Bailey,NYG@DAL,17.0,1,1,4,4,2,1,K,2016,9.0
1,Blair Walsh,MIN@TEN,15.0,2,1,6,4,1,1,K,2016,5.0
2,Stephen Gostkowski,NE@ARI,13.0,2,2,3,3,1,1,K,2016,7.0
3,Jason Myers,GB@JAX,13.0,2,2,3,3,1,1,K,2016,2.0
4,Nick Novak,CHI@HOU,11.0,2,2,3,3,0,1,K,2016,13.0
5,Mike Nugent,CIN@NYJ,11.0,2,2,4,3,0,1,K,2016,10.0
6,Adam Vinatieri,DET@IND,11.0,3,3,2,2,1,1,K,2016,10.0
7,Matt Bryant,TB@ATL,10.0,1,1,3,3,0,1,K,2016,9.0
8,Nick Folk,CIN@NYJ,10.0,2,1,4,3,0,1,K,2016,13.0
9,Dustin Hopkins,PIT@WAS,10.0,1,1,3,3,0,1,K,2016,11.0
10,Wil Lutz,OAK@NO,10.0,4,4,4,2,0,1,K,2016,7.0
11,Mason Crosby,GB@JAX,9.0,3,3,2,2,0,1,K,2016,2.0
12,Josh Lambo,SD@KC,9.0,3,3,3,2,0,1,K,2016,8.0
13,Cairo Santos,SD@KC,9.0,3,3,2,2,0,1,K,2016,14.0
14,Caleb Sturgis,CLE@PHI,9.0,3,3,3,2,0,1,K,2016,13.0
15,Justin Tucker,BUF@BAL,9.0,1,1,2,2,1,1,K,2016,13.0
16,Chris Boswell,PIT@WAS,8.0,5,5,1,1,0,1,K,2016,6.0
17,Graham Gano,CAR@DEN,8.0,2,2,3,2,0,1,K,2016,16.0
18,Roberto Aguayo,TB@ATL,7.0,4,4,1,1,0,1,K,2016,1.0
19,Sebastian Janikowski,OAK@NO,7.0,1,1,2,2,0,1,K,2016,4.0
20,Matt Prater,DET@IND,7.0,5,4,1,1,0,1,K,2016,7.0
21,Stephen Hauschka,MIA@SEA,6.0,1,0,2,2,0,1,K,2016,3.0
22,Phil Dawson,LA@SF,4.0,4,4,0,0,0,1,K,2016,9.0
23,Andrew Franks,MIA@SEA,4.0,1,1,2,1,0,1,K,2016,6.0
24,Patrick Murray,CLE@PHI,4.0,1,1,1,1,0,1,K,2016,2.0
25,Ryan Succop,MIN@TEN,4.0,1,1,1,1,0,1,K,2016,4.0
26,Chandler Catanzaro,NE@ARI,3.0,3,3,1,0,0,1,K,2016,10.0
27,Brandon McManus,CAR@DEN,3.0,3,3,0,0,0,1,K,2016,14.0
28,Connor Barth,CHI@HOU,2.0,2,2,0,0,0,1,K,2016,2.0
29,Randy Bullock,NYG@DAL,2.0,3,2,0,0,0,1,K,2016,10.0
30,Dan Carpenter,BUF@BAL,1.0,1,1,1,0,0,1,K,2016,7.0
0,Graham Gano,SF@CAR,16.0,5,4,4,4,0,2,K,2016,4.0
1,Brandon McManus,IND@DEN,14.0,2,2,5,4,0,2,K,2016,5.0
2,Cairo Santos,KC@HOU,14.0,0,0,4,4,1,2,K,2016,6.0
3,Nick Folk,NYJ@BUF,13.0,4,4,3,3,0,2,K,2016,3.0
4,Nick Novak,KC@HOU,13.0,1,1,5,4,0,2,K,2016,11.0
5,Caleb Sturgis,PHI@CHI,13.0,3,2,3,3,1,2,K,2016,10.0
6,Justin Tucker,BAL@CLE,13.0,2,2,3,3,1,2,K,2016,15.0
7,Dustin Hopkins,DAL@WAS,11.0,2,2,3,3,0,2,K,2016,17.0
8,Josh Brown,NO@NYG,10.0,1,1,4,3,0,2,K,2016,9.0
9,Chandler Catanzaro,TB@ARI,10.0,5,4,2,2,0,2,K,2016,6.0
10,Mike Nugent,CIN@PIT,10.0,1,1,3,3,0,2,K,2016,5.0
11,Adam Vinatieri,IND@DEN,10.0,2,2,2,2,1,2,K,2016,8.0
12,Dan Bailey,DAL@WAS,9.0,3,3,2,2,0,2,K,2016,7.0
13,Matt Bryant,ATL@OAK,9.0,3,3,2,2,0,2,K,2016,9.0
14,Phil Dawson,SF@CAR,9.0,3,3,2,2,0,2,K,2016,4.0
15,Greg Zuerlein,SEA@LA,9.0,0,0,3,3,0,2,K,2016,9.0
16,Josh Lambo,JAX@SD,8.0,5,5,1,1,0,2,K,2016,10.0
17,Dan Carpenter,NYJ@BUF,7.0,4,4,1,1,0,2,K,2016,9.0
18,Stephen Gostkowski,MIA@NE,7.0,4,4,2,1,0,2,K,2016,9.0
19,Wil Lutz,NO@NYG,7.0,1,1,3,2,0,2,K,2016,8.0
20,Matt Prater,TEN@DET,7.0,1,1,2,2,0,2,K,2016,11.0
21,Chris Boswell,CIN@PIT,6.0,3,3,1,1,0,2,K,2016,3.0
22,Andrew Franks,MIA@NE,6.0,3,3,1,1,0,2,K,2016,6.0
23,Blair Walsh,GB@MIN,5.0,2,2,1,1,0,2,K,2016,6.0
24,Sebastian Janikowski,ATL@OAK,4.0,4,4,1,0,0,2,K,2016,7.0
25,Ryan Succop,TEN@DET,4.0,1,1,2,1,0,2,K,2016,4.0
26,Stephen Hauschka,SEA@LA,3.0,0,0,1,1,0,2,K,2016,13.0
27,Connor Barth,PHI@CHI,2.0,2,2,1,0,0,2,K,2016,5.0
28,Mason Crosby,GB@MIN,2.0,2,2,0,0,0,2,K,2016,10.0
29,Patrick Murray,BAL@CLE,2.0,3,2,1,0,0,2,K,2016,1.0
30,Jason Myers,JAX@SD,2.0,2,2,1,0,0,2,K,2016,5.0
31,Roberto Aguayo,TB@ARI,1.0,1,1,1,0,0,2,K,2016,2.0
0,Dustin Hopkins,WAS@NYG,17.0,2,2,5,5,0,3,K,2016,7.0
1,Justin Tucker,BAL@JAX,15.0,1,1,4,4,1,3,K,2016,7.0
2,Stephen Hauschka,SF@SEA,13.0,4,4,3,3,0,3,K,2016,11.0
3,Matt Prater,DET@GB,11.0,3,3,3,2,1,3,K,2016,8.0
4,Mason Crosby,DET@GB,10.0,4,4,2,2,0,3,K,2016,11.0
5,Josh Lambo,SD@IND,10.0,2,1,3,3,0,3,K,2016,10.0
6,Cody Parkey,CLE@MIA,10.0,1,1,6,3,0,3,K,2016,10.0
7,Caleb Sturgis,PIT@PHI,10.0,4,4,2,2,0,3,K,2016,13.0
8,Josh Brown,WAS@NYG,9.0,3,3,2,2,0,3,K,2016,4.0
9,Matt Bryant,ATL@NO,9.0,6,6,1,1,0,3,K,2016,14.0
10,Dan Carpenter,ARI@BUF,9.0,4,3,2,2,0,3,K,2016,10.0
11,Stephen Gostkowski,HOU@NE,9.0,3,3,2,2,0,3,K,2016,0.0
12,Greg Zuerlein,LA@TB,9.0,4,4,1,1,1,3,K,2016,5.0
13,Wil Lutz,ATL@NO,8.0,3,3,1,1,1,3,K,2016,5.0
14,Adam Vinatieri,SD@IND,8.0,2,2,2,2,0,3,K,2016,11.0
15,Dan Bailey,CHI@DAL,7.0,4,4,2,1,0,3,K,2016,6.0
16,Sebastian Janikowski,OAK@TEN,7.0,2,2,1,1,1,3,K,2016,4.0
17,Chandler Catanzaro,ARI@BUF,6.0,1,1,1,1,1,3,K,2016,7.0
18,Andrew Franks,CLE@MIA,6.0,3,3,1,1,0,3,K,2016,1.0
19,Cairo Santos,NYJ@KC,6.0,3,3,1,1,0,3,K,2016,2.0
20,Blair Walsh,MIN@CAR,6.0,1,0,2,2,0,3,K,2016,6.0
21,Connor Barth,CHI@DAL,5.0,2,2,1,1,0,3,K,2016,5.0
22,Brandon McManus,DEN@CIN,5.0,3,2,1,1,0,3,K,2016,9.0
23,Jason Myers,BAL@JAX,5.0,2,2,2,1,0,3,K,2016,12.0
24,Mike Nugent,DEN@CIN,5.0,2,2,1,1,0,3,K,2016,16.0
25,Phil Dawson,SF@SEA,4.0,1,1,2,1,0,3,K,2016,5.0
26,Graham Gano,MIN@CAR,4.0,1,1,2,1,0,3,K,2016,7.0
27,Ryan Succop,OAK@TEN,4.0,1,1,1,1,0,3,K,2016,8.0
28,Chris Boswell,PIT@PHI,3.0,0,0,2,1,0,3,K,2016,5.0
29,Nick Folk,NYJ@KC,3.0,0,0,1,1,0,3,K,2016,5.0
30,Roberto Aguayo,LA@TB,2.0,3,2,1,0,0,3,K,2016,1.0
0,Mike Nugent,MIA@CIN,16.0,1,1,5,5,0,4,K,2016,2.0
1,Matt Bryant,CAR@ATL,14.0,6,6,2,2,1,4,K,2016,11.0
2,Jason Myers,IND@JAX,12.0,3,3,3,3,0,4,K,2016,5.0
3,Stephen Hauschka,SEA@NYJ,11.0,3,3,2,2,1,4,K,2016,8.0
4,Nick Novak,TEN@HOU,11.0,3,3,3,2,1,4,K,2016,7.0
5,Adam Vinatieri,IND@JAX,11.0,3,3,2,2,1,4,K,2016,21.0
6,Dan Carpenter,BUF@NE,10.0,1,1,4,3,0,4,K,2016,6.0
7,Josh Lambo,NO@SD,10.0,4,4,2,2,0,4,K,2016,7.0
8,Cody Parkey,CLE@WAS,10.0,2,2,2,2,1,4,K,2016,1.0
9,Brandon McManus,DEN@TB,9.0,3,3,2,2,0,4,K,2016,10.0
10,Matt Prater,DET@CHI,8.0,0,0,2,2,1,4,K,2016,6.0
11,Ryan Succop,TEN@HOU,8.0,2,2,2,2,0,4,K,2016,6.0
12,Chandler Catanzaro,LA@ARI,7.0,1,1,2,2,0,4,K,2016,7.0
